,FIPS Code,State,Area name,adults_bs_2014-18
0,0,US,United States,31.5
1,1000,AL,Alabama,24.9
2,1001,AL,Autauga County,27.7
3,1003,AL,Baldwin County,31.3
4,1005,AL,Barbour County,12.2
5,1007,AL,Bibb County,11.5
6,1009,AL,Blount County,12.6
7,1011,AL,Bullock County,13.3
8,1013,AL,Butler County,16.1
9,1015,AL,Calhoun County,18.0
10,1017,AL,Chambers County,13.2
11,1019,AL,Cherokee County,12.9
12,1021,AL,Chilton County,14.2
13,1023,AL,Choctaw County,13.0
14,1025,AL,Clarke County,12.6
15,1027,AL,Clay County,10.2
16,1029,AL,Cleburne County,13.7
17,1031,AL,Coffee County,23.4
18,1033,AL,Colbert County,18.7
19,1035,AL,Conecuh County,10.7
20,1037,AL,Coosa County,11.6
21,1039,AL,Covington County,14.9
22,1041,AL,Crenshaw County,15.6
23,1043,AL,Cullman County,13.7
24,1045,AL,Dale County,17.0
25,1047,AL,Dallas County,15.1
26,1049,AL,DeKalb County,12.7
27,1051,AL,Elmore County,24.5
28,1053,AL,Escambia County,12.7
29,1055,AL,Etowah County,17.7
30,1057,AL,Fayette County,12.9
31,1059,AL,Franklin County,12.9
32,1061,AL,Geneva County,11.1
33,1063,AL,Greene County,10.1
34,1065,AL,Hale County,14.1
35,1067,AL,Henry County,18.0
36,1069,AL,Houston County,21.0
37,1071,AL,Jackson County,14.2
38,1073,AL,Jefferson County,32.4
39,1075,AL,Lamar County,12.5
40,1077,AL,Lauderdale County,23.9
41,1079,AL,Lawrence County,11.7
42,1081,AL,Lee County,34.1
43,1083,AL,Limestone County,25.5
44,1085,AL,Lowndes County,14.1
45,1087,AL,Macon County,20.7
46,1089,AL,Madison County,41.7
47,1091,AL,Marengo County,15.4
48,1093,AL,Marion County,13.1
49,1095,AL,Marshall County,19.2
50,1097,AL,Mobile County,22.9
51,1099,AL,Monroe County,14.1
52,1101,AL,Montgomery County,32.1
53,1103,AL,Morgan County,21.7
54,1105,AL,Perry County,15.7
55,1107,AL,Pickens County,13.5
56,1109,AL,Pike County,23.6
57,1111,AL,Randolph County,14.9
58,1113,AL,Russell County,16.5
59,1115,AL,St. Clair County,16.5
60,1117,AL,Shelby County,42.1
61,1119,AL,Sumter County,21.8
62,1121,AL,Talladega County,14.3
63,1123,AL,Tallapoosa County,18.3
64,1125,AL,Tuscaloosa County,30.3
65,1127,AL,Walker County,11.6
66,1129,AL,Washington County,11.1
67,1131,AL,Wilcox County,12.5
68,1133,AL,Winston County,13.5
69,2000,AK,Alaska,29.2
