,STNAM,FIPST,LEAID,LEANM,ALL_COHORT_1718,ALL_RATE_1718,STATE,CNTY,NMCNTY
0,ALABAMA,1,100005,Albertville City,312,94,AL,1095,Marshall County
1,ALABAMA,1,100006,Marshall County,416,91,AL,1095,Marshall County
2,ALABAMA,1,100007,Hoover City,1120,94,AL,1073,Jefferson County
3,ALABAMA,1,100007,Hoover City,1120,94,AL,1117,Shelby County
4,ALABAMA,1,100008,Madison City,923,96,AL,1089,Madison County
5,ALABAMA,1,100008,Madison City,923,96,AL,1083,Limestone County
6,ALABAMA,1,100011,Leeds City,128,95,AL,1073,Jefferson County
7,ALABAMA,1,100012,Boaz City,126,92.0,AL,1095,Marshall County
8,ALABAMA,1,100013,Trussville City,355,97,AL,1073,Jefferson County
9,ALABAMA,1,100030,Alexander City,225,89,AL,1123,Tallapoosa County
10,ALABAMA,1,100060,Andalusia City,128,95,AL,1039,Covington County
11,ALABAMA,1,100090,Anniston City,120,77.0,AL,1015,Calhoun County
12,ALABAMA,1,100100,Arab City,189,92.0,AL,1095,Marshall County
13,ALABAMA,1,100120,Athens City,335,89,AL,1083,Limestone County
14,ALABAMA,1,100180,Attalla City,142,92.0,AL,1055,Etowah County
15,ALABAMA,1,100185,Saraland City,269,95,AL,1097,Mobile County
16,ALABAMA,1,100188,Chickasaw City,77,82.0,AL,1097,Mobile County
17,ALABAMA,1,100189,Satsuma City,108,95,AL,1097,Mobile County
18,ALABAMA,1,100190,Alabaster City,484,97,AL,1117,Shelby County
19,ALABAMA,1,100194,Pelham City,220,93,AL,1117,Shelby County
20,ALABAMA,1,100197,Acceleration Day and Evening Academy,37,64.5,AL,1097,Mobile County
21,ALABAMA,1,100210,Auburn City,618,95,AL,1081,Lee County
22,ALABAMA,1,100240,Autauga County,652,89,AL,1001,Autauga County
23,ALABAMA,1,100270,Baldwin County,2305,88,AL,1003,Baldwin County
24,ALABAMA,1,100300,Barbour County,56,74.5,AL,1005,Barbour County
25,ALABAMA,1,100330,Bessemer City,246,77,AL,1073,Jefferson County
26,ALABAMA,1,100360,Bibb County,225,88,AL,1007,Bibb County
27,ALABAMA,1,100390,Birmingham City,1663,79,AL,1073,Jefferson County
28,ALABAMA,1,100420,Blount County,652,93,AL,1009,Blount County
29,ALABAMA,1,100450,Brewton City,86,92.0,AL,1053,Escambia County
30,ALABAMA,1,100480,Bullock County,113,87.0,AL,1011,Bullock County
31,ALABAMA,1,100510,Butler County,252,83,AL,1013,Butler County
32,ALABAMA,1,100540,Calhoun County,755,92,AL,1015,Calhoun County
33,ALABAMA,1,100600,Chambers County,251,82,AL,1017,Chambers County
34,ALABAMA,1,100630,Cherokee County,325,94,AL,1019,Cherokee County
35,ALABAMA,1,100660,Chilton County,558,87,AL,1021,Chilton County
36,ALABAMA,1,100690,Choctaw County,117,82.0,AL,1023,Choctaw County
37,ALABAMA,1,100720,Clarke County,229,93,AL,1025,Clarke County
38,ALABAMA,1,100750,Clay County,154,87.0,AL,1027,Clay County
39,ALABAMA,1,100780,Cleburne County,201,94,AL,1029,Cleburne County
40,ALABAMA,1,100810,Coffee County,164,95,AL,1031,Coffee County
41,ALABAMA,1,100840,Colbert County,202,93,AL,1033,Colbert County
42,ALABAMA,1,100870,Conecuh County,150,82.0,AL,1035,Conecuh County
43,ALABAMA,1,100900,Coosa County,72,82.0,AL,1037,Coosa County
44,ALABAMA,1,100930,Covington County,181,92.0,AL,1039,Covington County
45,ALABAMA,1,100960,Crenshaw County,154,92.0,AL,1041,Crenshaw County
46,ALABAMA,1,100990,Cullman City,230,93,AL,1043,Cullman County
47,ALABAMA,1,101020,Cullman County,713,94,AL,1043,Cullman County
48,ALABAMA,1,101050,Dale County,241,97,AL,1045,Dale County
49,ALABAMA,1,101080,Daleville City,63,87.0,AL,1045,Dale County
50,ALABAMA,1,101110,Dallas County,289,92,AL,1047,Dallas County
51,ALABAMA,1,101140,DeKalb County,676,92,AL,1049,DeKalb County
52,ALABAMA,1,101170,Decatur City,610,87,AL,1103,Morgan County
53,ALABAMA,1,101200,Demopolis City,189,92.0,AL,1091,Marengo County
54,ALABAMA,1,101230,Dothan City,673,87,AL,1069,Houston County
55,ALABAMA,1,101260,Elba City,54,90,AL,1031,Coffee County
56,ALABAMA,1,101290,Elmore County,804,90,AL,1051,Elmore County
57,ALABAMA,1,101320,Enterprise City,558,93,AL,1031,Coffee County
58,ALABAMA,1,101350,Escambia County,306,92,AL,1053,Escambia County
59,ALABAMA,1,101380,Etowah County,636,95,AL,1055,Etowah County
60,ALABAMA,1,101410,Eufaula City,205,84,AL,1005,Barbour County
