STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
ALABAMA,1,100005,AL-101,Albertville City,312,94,,,2,PS,11,GE50,126,90-94,7,GE50,166,GE95,11,GE50,93,80-84,,,2,PS,22,60-79,23-Sep-19
ALABAMA,1,100006,AL-048,Marshall County,416,91,3,PS,3,PS,8,GE50,57,GE90,,,345,92,47,70-79,249,85-89,2,PS,23,GE80,11,GE50,23-Sep-19
ALABAMA,1,100007,AL-158,Hoover City,1120,94,,,73,90-94,304,90,63,80-84,49,GE90,631,97,51,60-69,234,80-84,2,PS,7,GE50,9,LT50,23-Sep-19
ALABAMA,1,100008,AL-169,Madison City,923,96,3,PS,76,GE95,210,GE95,52,GE90,20,GE80,562,96,71,75-79,159,85-89,1,PS,9,GE50,13,GE50,23-Sep-19
ALABAMA,1,100011,AL-167,Leeds City,128,GE95,,,2,PS,36,GE90,20,GE80,7,GE50,63,GE95,14,GE50,53,GE90,1,PS,4,PS,1,PS,23-Sep-19
ALABAMA,1,100012,AL-115,Boaz City,126,90-94,1,PS,,,3,PS,23,GE80,3,PS,96,85-89,10,GE50,69,85-89,,,3,PS,2,PS,23-Sep-19
ALABAMA,1,100013,AL-205,Trussville City,355,97,1,PS,10,GE50,45,GE90,8,GE50,5,PS,286,GE95,17,60-79,40,GE90,,,1,PS,,,23-Sep-19
ALABAMA,1,100030,AL-102,Alexander City,225,89,1,PS,2,PS,88,85-89,5,PS,,,129,90-94,31,60-69,103,80-84,,,1,PS,1,PS,23-Sep-19
ALABAMA,1,100060,AL-104,Andalusia City,128,GE95,,,1,PS,50,GE90,2,PS,2,PS,73,GE95,14,GE50,62,90-94,,,1,PS,,,23-Sep-19
ALABAMA,1,100090,AL-105,Anniston City,120,75-79,,,,,111,75-79,3,PS,,,6,LT50,6,GE50,81,75-79,,,7,GE50,,,23-Sep-19
ALABAMA,1,100100,AL-106,Arab City,189,90-94,2,PS,2,PS,,,6,GE50,,,179,90-94,15,GE50,45,80-89,,,1,PS,,,23-Sep-19
ALABAMA,1,100120,AL-107,Athens City,335,89,3,PS,8,GE50,74,85-89,38,70-79,11,GE50,201,90-94,24,60-79,130,80-84,1,PS,15,GE50,15,LT50,23-Sep-19
ALABAMA,1,100180,AL-109,Attalla City,142,90-94,1,PS,,,17,GE80,10,GE50,13,GE50,101,90-94,15,GE50,81,85-89,7,GE50,15,GE50,,,23-Sep-19
ALABAMA,1,100185,AL-187,Saraland City,269,95,2,PS,6,GE50,43,GE90,7,GE50,13,GE50,198,90-94,18,GE80,108,90-94,1,PS,5,PS,1,PS,23-Sep-19
ALABAMA,1,100188,AL-121,Chickasaw City,77,80-84,,,,,50,80-89,6,GE50,,,21,60-79,8,GE50,56,70-79,,,3,PS,3,PS,23-Sep-19
ALABAMA,1,100189,AL-196,Satsuma City,108,GE95,5,PS,,,11,GE50,1,PS,2,PS,89,GE95,2,PS,33,GE90,,,,,,,23-Sep-19
ALABAMA,1,100190,AL-103,Alabaster City,484,97,1,PS,6,GE50,118,GE95,61,GE95,9,GE50,289,GE95,32,80-89,158,GE95,1,PS,7,GE50,8,GE50,23-Sep-19
ALABAMA,1,100194,AL-177,Pelham City,220,93,,,11,GE50,33,GE90,48,GE90,2,PS,126,90-94,8,LT50,65,85-89,,,1,PS,7,GE50,23-Sep-19
ALABAMA,1,100197,AL-800,Acceleration Day and Evening Academy,37,60-69,,,,,31,60-69,1,PS,,,5,PS,4,PS,30,60-79,,,1,PS,,,23-Sep-19
ALABAMA,1,100210,AL-110,Auburn City,618,95,1,PS,55,GE90,152,90-94,25,GE80,5,PS,380,97,47,70-79,132,85-89,,,,,8,GE50,23-Sep-19
ALABAMA,1,100240,AL-001,Autauga County,652,89,1,PS,15,GE50,170,80-84,9,GE50,8,GE50,449,91,46,50-59,248,75-79,1,PS,4,PS,2,PS,23-Sep-19
ALABAMA,1,100270,AL-002,Baldwin County,2305,88,9,GE50,25,GE80,285,80-84,158,85-89,105,90-94,1723,89,245,65-69,862,79,3,PS,12,GE50,31,60-69,23-Sep-19
ALABAMA,1,100300,AL-003,Barbour County,56,70-79,,,1,PS,51,80-89,2,PS,,,2,PS,5,PS,38,70-79,,,,,3,PS,23-Sep-19
ALABAMA,1,100330,AL-113,Bessemer City,246,77,,,,,226,75-79,14,GE50,1,PS,5,PS,19,60-79,148,75-79,,,9,LT50,6,GE50,23-Sep-19
ALABAMA,1,100360,AL-004,Bibb County,225,88,,,,,58,80-89,5,PS,1,PS,161,90-94,30,60-79,120,80-84,3,PS,3,PS,2,PS,23-Sep-19
ALABAMA,1,100390,AL-114,Birmingham City,1663,79,8,GE50,3,PS,1565,80,50,50-59,11,GE50,26,40-59,196,65-69,996,75,11,GE50,9,GE50,32,40-49,23-Sep-19
ALABAMA,1,100420,AL-005,Blount County,652,93,1,PS,1,PS,9,GE50,86,GE95,2,PS,553,92,53,60-69,302,88,3,PS,18,GE80,9,GE50,23-Sep-19
ALABAMA,1,100450,AL-116,Brewton City,86,90-94,,,1,PS,37,80-89,2,PS,,,46,GE90,5,PS,33,80-89,,,,,,,23-Sep-19
ALABAMA,1,100480,AL-006,Bullock County,113,85-89,,,,,101,90-94,12,GE50,,,,,12,GE50,71,80-84,,,,,5,PS,23-Sep-19
ALABAMA,1,100510,AL-007,Butler County,252,83,1,PS,3,PS,157,80-84,3,PS,2,PS,86,80-84,35,60-69,180,80-84,1,PS,10,GE50,,,23-Sep-19
ALABAMA,1,100540,AL-008,Calhoun County,755,92,2,PS,8,GE50,106,90-94,23,GE80,,,616,92,76,70-74,411,88,5,PS,23,GE80,6,GE50,23-Sep-19
ALABAMA,1,100600,AL-009,Chambers County,251,82,,,1,PS,117,85-89,5,PS,8,GE50,120,80-84,36,20-29,127,75-79,,,,,1,PS,23-Sep-19
ALABAMA,1,100630,AL-010,Cherokee County,325,94,35,GE90,2,PS,16,GE80,3,PS,,,269,90-94,35,80-89,183,90-94,1,PS,49,80-89,,,23-Sep-19
ALABAMA,1,100660,AL-011,Chilton County,558,87,1,PS,2,PS,77,90-94,74,80-84,,,404,86,34,80-89,314,82,2,PS,,,17,60-79,23-Sep-19
