State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
AL,1,190,Alabaster City School District,Shelby County,117
AL,1,5,Albertville City School District,Marshall County,95
AL,1,30,Alexander City City School District,Tallapoosa County,123
AL,1,60,Andalusia City School District,Covington County,39
AL,1,90,Anniston City School District,Calhoun County,15
AL,1,100,Arab City School District,Cullman County,43
AL,1,100,Arab City School District,Marshall County,95
AL,1,120,Athens City School District,Limestone County,83
AL,1,180,Attalla City School District,Etowah County,55
AL,1,210,Auburn City School District,Lee County,81
AL,1,240,Autauga County School District,Autauga County,1
AL,1,270,Baldwin County School District,Baldwin County,3
AL,1,300,Barbour County School District,Barbour County,5
AL,1,330,Bessemer City School District,Jefferson County,73
AL,1,360,Bibb County School District,Bibb County,7
AL,1,390,Birmingham City School District,Jefferson County,73
AL,1,390,Birmingham City School District,Shelby County,117
AL,1,420,Blount County School District,Blount County,9
AL,1,12,Boaz City School District,Etowah County,55
AL,1,12,Boaz City School District,Marshall County,95
AL,1,450,Brewton City School District,Escambia County,53
AL,1,480,Bullock County School District,Bullock County,11
AL,1,510,Butler County School District,Butler County,13
AL,1,540,Calhoun County School District,Calhoun County,15
AL,1,600,Chambers County School District,Chambers County,17
AL,1,630,Cherokee County School District,Cherokee County,19
AL,1,188,Chickasaw City School District,Mobile County,97
AL,1,660,Chilton County School District,Chilton County,21
AL,1,690,Choctaw County School District,Choctaw County,23
AL,1,720,Clarke County School District,Clarke County,25
AL,1,750,Clay County School District,Clay County,27
AL,1,780,Cleburne County School District,Cleburne County,29
AL,1,810,Coffee County School District,Coffee County,31
AL,1,840,Colbert County School District,Colbert County,33
AL,1,870,Conecuh County School District,Conecuh County,35
AL,1,900,Coosa County School District,Coosa County,37
AL,1,930,Covington County School District,Covington County,39
AL,1,960,Crenshaw County School District,Crenshaw County,41
AL,1,990,Cullman City School District,Cullman County,43
AL,1,1020,Cullman County School District,Cullman County,43
AL,1,1050,Dale County School District,Dale County,45
AL,1,1080,Daleville City School District,Dale County,45
AL,1,1110,Dallas County School District,Dallas County,47
AL,1,1140,DeKalb County School District,DeKalb County,49
AL,1,1170,Decatur City School District,Limestone County,83
AL,1,1170,Decatur City School District,Morgan County,103
AL,1,1200,Demopolis City School District,Marengo County,91
AL,1,1230,Dothan City School District,Dale County,45
AL,1,1230,Dothan City School District,Henry County,67
AL,1,1230,Dothan City School District,Houston County,69
AL,1,1260,Elba City School District,Coffee County,31
AL,1,1290,Elmore County School District,Elmore County,51
AL,1,1320,Enterprise City School District,Coffee County,31
AL,1,1320,Enterprise City School District,Dale County,45
AL,1,1350,Escambia County School District,Escambia County,53
AL,1,1380,Etowah County School District,Etowah County,55
AL,1,1410,Eufaula City School District,Barbour County,5
AL,1,1440,Fairfield City School District,Jefferson County,73
AL,1,1470,Fayette County School District,Fayette County,57
AL,1,1530,Florence City School District,Lauderdale County,77
AL,1,1560,Fort Payne City School District,DeKalb County,49
AL,1,1,Fort Rucker School District,Coffee County,31
AL,1,1,Fort Rucker School District,Dale County,45
AL,1,1590,Franklin County School District,Franklin County,59
AL,1,1620,Gadsden City School District,Etowah County,55
AL,1,1640,Geneva City School District,Geneva County,61
AL,1,1660,Geneva County School District,Geneva County,61
AL,1,1680,Greene County School District,Greene County,63
AL,1,1690,Guntersville City School District,Marshall County,95
AL,1,1710,Hale County School District,Hale County,65
AL,1,1720,Haleyville City School District,Marion County,93
AL,1,1720,Haleyville City School District,Winston County,133
AL,1,1730,Hartselle City School District,Morgan County,103
AL,1,1740,Henry County School District,Henry County,67
AL,1,1760,Homewood City School District,Jefferson County,73
AL,1,7,Hoover City School District,Jefferson County,73
AL,1,7,Hoover City School District,Shelby County,117
AL,1,1770,Houston County School District,Houston County,69
AL,1,1800,Huntsville City School District,Limestone County,83
AL,1,1800,Huntsville City School District,Madison County,89
AL,1,1830,Jackson County School District,Jackson County,71
AL,1,1860,Jacksonville City School District,Calhoun County,15
AL,1,1890,Jasper City School District,Walker County,127
AL,1,1920,Jefferson County School District,Jefferson County,73
AL,1,1950,Lamar County School District,Lamar County,75
AL,1,1980,Lanett City School District,Chambers County,17
AL,1,2010,Lauderdale County School District,Lauderdale County,77
AL,1,2040,Lawrence County School District,Lawrence County,79
AL,1,2070,Lee County School District,Lee County,81
AL,1,11,Leeds City School District,Jefferson County,73
AL,1,11,Leeds City School District,St. Clair County,115
AL,1,11,Leeds City School District,Shelby County,117
AL,1,2100,Limestone County School District,Limestone County,83
AL,1,2130,Linden City School District,Marengo County,91
AL,1,2160,Lowndes County School District,Lowndes County,85
AL,1,2190,Macon County School District,Macon County,87
AL,1,8,Madison City School District,Limestone County,83
AL,1,8,Madison City School District,Madison County,89
AL,1,2220,Madison County School District,Madison County,89
AL,1,2250,Marengo County School District,Marengo County,91
AL,1,2310,Marion County School District,Marion County,93
AL,1,6,Marshall County School District,Marshall County,95
AL,1,3,Maxwell AFB School District,Montgomery County,101
AL,1,2350,Midfield City School District,Jefferson County,73
AL,1,2370,Mobile County School District,Mobile County,97
AL,1,2400,Monroe County School District,Monroe County,99
AL,1,2430,Montgomery County School District,Montgomery County,101
AL,1,2480,Morgan County School District,Morgan County,103
AL,1,2490,Mountain Brook City School District,Jefferson County,73
AL,1,2520,Muscle Shoals City School District,Colbert County,33
AL,1,2550,Oneonta City School District,Blount County,9
AL,1,2580,Opelika City School District,Lee County,81
AL,1,2610,Opp City School District,Covington County,39
AL,1,2635,Oxford City School District,Calhoun County,15
AL,1,2635,Oxford City School District,Talladega County,121
AL,1,2640,Ozark City School District,Dale County,45
AL,1,194,Pelham City School District,Shelby County,117
AL,1,2650,Pell City City School District,St. Clair County,115
AL,1,2670,Perry County School District,Perry County,105
AL,1,2700,Phenix City City School District,Lee County,81
AL,1,2700,Phenix City City School District,Russell County,113
AL,1,2730,Pickens County School District,Pickens County,107
AL,1,2760,Piedmont City School District,Calhoun County,15
AL,1,2760,Piedmont City School District,Cleburne County,29
AL,1,2790,Pike County School District,Pike County,109
AL,1,195,Pike Road City School District,Montgomery County,101
AL,1,2820,Randolph County School District,Randolph County,111
AL,1,2850,Roanoke City School District,Randolph County,111
AL,1,2880,Russell County School District,Russell County,113
AL,1,2910,Russellville City School District,Franklin County,59
AL,1,185,Saraland City School District,Mobile County,97
AL,1,189,Satsuma City School District,Mobile County,97
AL,1,2940,Scottsboro City School District,Jackson County,71
AL,1,2970,Selma City School District,Dallas County,47
AL,1,3000,Sheffield City School District,Colbert County,33
AL,1,3030,Shelby County School District,Shelby County,117
AL,1,3062,St. Clair County School District,St. Clair County,115
AL,1,3090,Sumter County School District,Sumter County,119
AL,1,3120,Sylacauga City School District,Talladega County,121
AL,1,3150,Talladega City School District,Talladega County,121
AL,1,3180,Talladega County School District,Talladega County,121
AL,1,3210,Tallapoosa County School District,Tallapoosa County,123
AL,1,3240,Tallassee City School District,Elmore County,51
AL,1,3240,Tallassee City School District,Tallapoosa County,123
AL,1,3270,Tarrant City School District,Jefferson County,73
AL,1,3300,Thomasville City School District,Clarke County,25
AL,1,3330,Troy City School District,Pike County,109
AL,1,13,Trussville City School District,Jefferson County,73
AL,1,13,Trussville City School District,St. Clair County,115
AL,1,3360,Tuscaloosa City School District,Tuscaloosa County,125
AL,1,3390,Tuscaloosa County School District,Tuscaloosa County,125
AL,1,3420,Tuscumbia City School District,Colbert County,33
AL,1,3430,Vestavia Hills City School District,Jefferson County,73
AL,1,3430,Vestavia Hills City School District,Shelby County,117
AL,1,3450,Walker County School District,Walker County,127
AL,1,3480,Washington County School District,Washington County,129
AL,1,3510,Wilcox County School District,Wilcox County,131
AL,1,3540,Winfield City School District,Fayette County,57
AL,1,3540,Winfield City School District,Marion County,93
AL,1,3580,Winston County School District,Winston County,133
AK,2,50,Alaska Gateway School District,Southeast Fairbanks Censu,240
AK,2,50,Alaska Gateway School District,Valdez-Cordova Census Are,261
AK,2,50,Alaska Gateway School District,Yukon-Koyukuk Census Area,290
AK,2,10,Aleutian Region School District,Aleutians West Census Are,16
AK,2,7,Aleutians East Borough School District,Aleutians East Borough,13
AK,2,180,Anchorage School District,Anchorage Municipality,20
AK,2,525,Annette Island School District,Prince of Wales-Hyder Cen,198
AK,2,20,Bering Strait School District,Nome Census Area,180
AK,2,30,Bristol Bay Borough School District,Bristol Bay Borough,60
AK,2,730,Chatham School District,Hoonah-Angoon Census Area,105
AK,2,800,Chugach School District,Valdez-Cordova Census Are,261
AK,2,70,Copper River School District,Southeast Fairbanks Censu,240
AK,2,70,Copper River School District,Valdez-Cordova Census Are,261
AK,2,60,Cordova City School District,Valdez-Cordova Census Are,261
AK,2,90,Craig City School District,Prince of Wales-Hyder Cen,198
AK,2,100,Delta/Greely School District,Southeast Fairbanks Censu,240
AK,2,770,Denali Borough School District,Denali Borough,68
AK,2,120,Dillingham City School District,Dillingham Census Area,70
AK,2,600,Fairbanks North Star Borough School District,Fairbanks North Star Boro,90
AK,2,130,Galena City School District,Yukon-Koyukuk Census Area,290
AK,2,270,Haines Borough School District,Haines Borough,100
AK,2,300,Hoonah City School District,Hoonah-Angoon Census Area,105
AK,2,330,Hydaburg City School District,Prince of Wales-Hyder Cen,198
AK,2,520,Iditarod Area School District,Bethel Census Area,50
AK,2,520,Iditarod Area School District,Yukon-Koyukuk Census Area,290
AK,2,210,Juneau Borough School District,Juneau City and Borough,110
AK,2,360,Kake City School District,Prince of Wales-Hyder Cen,198
AK,2,5,Kashunamiut School District,Kusilvak Census Area,158
AK,2,390,Kenai Peninsula Borough School District,Kenai Peninsula Borough,122
AK,2,150,Ketchikan Gateway Borough School District,Ketchikan Gateway Borough,130
AK,2,450,Klawock City School District,Prince of Wales-Hyder Cen,198
AK,2,480,Kodiak Island Borough School District,Kodiak Island Borough,150
AK,2,760,Kuspuk School District,Bethel Census Area,50
AK,2,760,Kuspuk School District,Kusilvak Census Area,158
AK,2,485,Lake and Peninsula Borough School District,Lake and Peninsula Boroug,164
AK,2,1,Lower Kuskokwim School District,Bethel Census Area,50
AK,2,1,Lower Kuskokwim School District,Kusilvak Census Area,158
AK,2,3,Lower Yukon School District,Bethel Census Area,50
AK,2,3,Lower Yukon School District,Kusilvak Census Area,158
